,Date,GEO,DGUID,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,Year
37721,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,0 to 4 years,Persons,249,units,0,v1589894685,110.2.2,1942.0,,,,0,2001
37727,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,5 to 9 years,Persons,249,units,0,v1589894695,110.2.8,2301.0,,,,0,2001
37733,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,10 to 14 years,Persons,249,units,0,v1589894686,110.2.14,2594.0,,,,0,2001
37739,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,15 to 19 years,Persons,249,units,0,v1589894687,110.2.20,2713.0,,,,0,2001
37745,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,20 to 24 years,Persons,249,units,0,v1589894689,110.2.26,2416.0,,,,0,2001
37751,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,25 to 29 years,Persons,249,units,0,v1589894690,110.2.32,2111.0,,,,0,2001
37757,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,30 to 34 years,Persons,249,units,0,v1589894691,110.2.38,2276.0,,,,0,2001
37763,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,35 to 39 years,Persons,249,units,0,v1589894692,110.2.44,2952.0,,,,0,2001
37769,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,40 to 44 years,Persons,249,units,0,v1589894693,110.2.50,3063.0,,,,0,2001
37775,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,45 to 49 years,Persons,249,units,0,v1589894694,110.2.56,2634.0,,,,0,2001
37781,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,50 to 54 years,Persons,249,units,0,v1589894696,110.2.62,2536.0,,,,0,2001
37787,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,55 to 59 years,Persons,249,units,0,v1589894697,110.2.68,2004.0,,,,0,2001
37793,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,60 to 64 years,Persons,249,units,0,v1589894698,110.2.74,1689.0,,,,0,2001
37799,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,65 to 69 years,Persons,249,units,0,v1589894699,110.2.80,1585.0,,,,0,2001
37805,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,70 to 74 years,Persons,249,units,0,v1589894701,110.2.86,1226.0,,,,0,2001
37811,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,75 to 79 years,Persons,249,units,0,v1589894702,110.2.92,820.0,,,,0,2001
37817,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,80 to 84 years,Persons,249,units,0,v1589894703,110.2.98,457.0,,,,0,2001
37823,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,85 to 89 years,Persons,249,units,0,v1589894704,110.2.104,227.0,,,,0,2001
37829,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,90 years +,Persons,249,units,0,v1589894683,110.2.110,71.0,,,,0,2001
37836,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,0 to 4 years,Persons,249,units,0,v1589894800,110.3.2,-1847.0,,,,0,2001
37842,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,5 to 9 years,Persons,249,units,0,v1589894810,110.3.8,-2268.0,,,,0,2001
37848,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,10 to 14 years,Persons,249,units,0,v1589894801,110.3.14,-2471.0,,,,0,2001
37854,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,15 to 19 years,Persons,249,units,0,v1589894802,110.3.20,-2607.0,,,,0,2001
37860,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,20 to 24 years,Persons,249,units,0,v1589894804,110.3.26,-2439.0,,,,0,2001
37866,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,25 to 29 years,Persons,249,units,0,v1589894805,110.3.32,-2106.0,,,,0,2001
37872,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,30 to 34 years,Persons,249,units,0,v1589894806,110.3.38,-2284.0,,,,0,2001
37878,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,35 to 39 years,Persons,249,units,0,v1589894807,110.3.44,-3107.0,,,,0,2001
37884,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,40 to 44 years,Persons,249,units,0,v1589894808,110.3.50,-3060.0,,,,0,2001
37890,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,45 to 49 years,Persons,249,units,0,v1589894809,110.3.56,-2739.0,,,,0,2001
37896,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,50 to 54 years,Persons,249,units,0,v1589894811,110.3.62,-2604.0,,,,0,2001
37902,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,55 to 59 years,Persons,249,units,0,v1589894812,110.3.68,-2090.0,,,,0,2001
37908,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,60 to 64 years,Persons,249,units,0,v1589894813,110.3.74,-1855.0,,,,0,2001
37914,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,65 to 69 years,Persons,249,units,0,v1589894814,110.3.80,-1583.0,,,,0,2001
37920,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,70 to 74 years,Persons,249,units,0,v1589894816,110.3.86,-1401.0,,,,0,2001
37926,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,75 to 79 years,Persons,249,units,0,v1589894817,110.3.92,-1237.0,,,,0,2001
37932,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,80 to 84 years,Persons,249,units,0,v1589894818,110.3.98,-871.0,,,,0,2001
37938,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,85 to 89 years,Persons,249,units,0,v1589894819,110.3.104,-505.0,,,,0,2001
37944,2001-01-01,"North Bay (CA), Ontario",2021S0504575,Women+,90 years +,Persons,249,units,0,v1589894798,110.3.110,-235.0,,,,0,2001
110516,2002-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,0 to 4 years,Persons,249,units,0,v1589894685,110.2.2,1872.0,,,,0,2002
110522,2002-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,5 to 9 years,Persons,249,units,0,v1589894695,110.2.8,2272.0,,,,0,2002
110528,2002-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,10 to 14 years,Persons,249,units,0,v1589894686,110.2.14,2527.0,,,,0,2002
110534,2002-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,15 to 19 years,Persons,249,units,0,v1589894687,110.2.20,2777.0,,,,0,2002
110540,2002-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,20 to 24 years,Persons,249,units,0,v1589894689,110.2.26,2421.0,,,,0,2002
110546,2002-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,25 to 29 years,Persons,249,units,0,v1589894690,110.2.32,2124.0,,,,0,2002
110552,2002-01-01,"North Bay (CA), Ontario",2021S0504575,Men+,30 to 34 years,Persons,249,units,0,v1589894691,110.2.38,2248.0,,,,0,2002
