,Date,GEO,DGUID,Labour force characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
136,2006-01-01,"North Bay, Ontario",2016S0504575,Population,Persons,249,thousands,3,v1235071884,19.1,60.9,,,,1
137,2006-01-01,"North Bay, Ontario",2016S0504575,Labour force,Persons,249,thousands,3,v1235071885,19.2,38.7,,,,1
138,2006-01-01,"North Bay, Ontario",2016S0504575,Employment,Persons,249,thousands,3,v1235071886,19.3,36.2,,,,1
139,2006-01-01,"North Bay, Ontario",2016S0504575,Unemployment,Persons,249,thousands,3,v1235071887,19.4,2.5,,,,1
140,2006-01-01,"North Bay, Ontario",2016S0504575,Not in labour force,Persons,249,thousands,3,v1235071888,19.5,22.2,,,,1
141,2006-01-01,"North Bay, Ontario",2016S0504575,Unemployment rate,Percentage,242,units,0,v1235071889,19.6,6.5,,,,1
142,2006-01-01,"North Bay, Ontario",2016S0504575,Participation rate,Percentage,242,units,0,v1235071890,19.7,63.5,,,,1
143,2006-01-01,"North Bay, Ontario",2016S0504575,Employment rate,Percentage,242,units,0,v1235071891,19.8,59.4,,,,1
368,2007-01-01,"North Bay, Ontario",2016S0504575,Population,Persons,249,thousands,3,v1235071884,19.1,61.1,,,,1
369,2007-01-01,"North Bay, Ontario",2016S0504575,Labour force,Persons,249,thousands,3,v1235071885,19.2,40.8,,,,1
370,2007-01-01,"North Bay, Ontario",2016S0504575,Employment,Persons,249,thousands,3,v1235071886,19.3,38.1,,,,1
371,2007-01-01,"North Bay, Ontario",2016S0504575,Unemployment,Persons,249,thousands,3,v1235071887,19.4,2.7,,,,1
372,2007-01-01,"North Bay, Ontario",2016S0504575,Not in labour force,Persons,249,thousands,3,v1235071888,19.5,20.3,,,,1
373,2007-01-01,"North Bay, Ontario",2016S0504575,Unemployment rate,Percentage,242,units,0,v1235071889,19.6,6.6,,,,1
374,2007-01-01,"North Bay, Ontario",2016S0504575,Participation rate,Percentage,242,units,0,v1235071890,19.7,66.8,,,,1
375,2007-01-01,"North Bay, Ontario",2016S0504575,Employment rate,Percentage,242,units,0,v1235071891,19.8,62.4,,,,1
600,2008-01-01,"North Bay, Ontario",2016S0504575,Population,Persons,249,thousands,3,v1235071884,19.1,61.3,,,,1
601,2008-01-01,"North Bay, Ontario",2016S0504575,Labour force,Persons,249,thousands,3,v1235071885,19.2,39.9,,,,1
602,2008-01-01,"North Bay, Ontario",2016S0504575,Employment,Persons,249,thousands,3,v1235071886,19.3,38.1,,,,1
603,2008-01-01,"North Bay, Ontario",2016S0504575,Unemployment,Persons,249,thousands,3,v1235071887,19.4,1.8,,,,1
604,2008-01-01,"North Bay, Ontario",2016S0504575,Not in labour force,Persons,249,thousands,3,v1235071888,19.5,21.4,,,,1
605,2008-01-01,"North Bay, Ontario",2016S0504575,Unemployment rate,Percentage,242,units,0,v1235071889,19.6,4.5,,,,1
606,2008-01-01,"North Bay, Ontario",2016S0504575,Participation rate,Percentage,242,units,0,v1235071890,19.7,65.1,,,,1
607,2008-01-01,"North Bay, Ontario",2016S0504575,Employment rate,Percentage,242,units,0,v1235071891,19.8,62.2,,,,1
832,2009-01-01,"North Bay, Ontario",2016S0504575,Population,Persons,249,thousands,3,v1235071884,19.1,61.4,,,,1
833,2009-01-01,"North Bay, Ontario",2016S0504575,Labour force,Persons,249,thousands,3,v1235071885,19.2,38.1,,,,1
834,2009-01-01,"North Bay, Ontario",2016S0504575,Employment,Persons,249,thousands,3,v1235071886,19.3,34.9,,,,1
835,2009-01-01,"North Bay, Ontario",2016S0504575,Unemployment,Persons,249,thousands,3,v1235071887,19.4,3.2,,,,1
836,2009-01-01,"North Bay, Ontario",2016S0504575,Not in labour force,Persons,249,thousands,3,v1235071888,19.5,23.3,,,,1
837,2009-01-01,"North Bay, Ontario",2016S0504575,Unemployment rate,Percentage,242,units,0,v1235071889,19.6,8.4,,,,1
838,2009-01-01,"North Bay, Ontario",2016S0504575,Participation rate,Percentage,242,units,0,v1235071890,19.7,62.1,,,,1
839,2009-01-01,"North Bay, Ontario",2016S0504575,Employment rate,Percentage,242,units,0,v1235071891,19.8,56.8,,,,1
1064,2010-01-01,"North Bay, Ontario",2016S0504575,Population,Persons,249,thousands,3,v1235071884,19.1,61.7,,,,1
1065,2010-01-01,"North Bay, Ontario",2016S0504575,Labour force,Persons,249,thousands,3,v1235071885,19.2,36.2,,,,1
1066,2010-01-01,"North Bay, Ontario",2016S0504575,Employment,Persons,249,thousands,3,v1235071886,19.3,32.6,,,,1
1067,2010-01-01,"North Bay, Ontario",2016S0504575,Unemployment,Persons,249,thousands,3,v1235071887,19.4,3.6,,,,1
1068,2010-01-01,"North Bay, Ontario",2016S0504575,Not in labour force,Persons,249,thousands,3,v1235071888,19.5,25.4,,,,1
1069,2010-01-01,"North Bay, Ontario",2016S0504575,Unemployment rate,Percentage,242,units,0,v1235071889,19.6,9.9,,,,1
1070,2010-01-01,"North Bay, Ontario",2016S0504575,Participation rate,Percentage,242,units,0,v1235071890,19.7,58.7,,,,1
