,Date,GEO,DGUID,Gender,Age group,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
14256,2017-01-01,"North Bay, Ontario",2021S0504575,Both,Ages 15 years and over,"Count of tax filers with wages, salaries and commissions",Number,223,units,0,v1121101095,100.1.1.1,33540.0,,,,0
14257,2017-01-01,"North Bay, Ontario",2021S0504575,Both,Ages 15 years and over,"Percentage of tax filers with wages, salaries and commissions",Percent,239,units,0,v1121101096,100.1.1.2,100.0,,,,1
14258,2017-01-01,"North Bay, Ontario",2021S0504575,Both,Ages 15 years and over,"25th percentile of wages, salaries and commissions",Dollars,81,units,0,v1121101097,100.1.1.3,12400.0,,,,0
14259,2017-01-01,"North Bay, Ontario",2021S0504575,Both,Ages 15 years and over,"Median wages, salaries and commissions",Dollars,81,units,0,v1121101098,100.1.1.4,34970.0,,,,0
14260,2017-01-01,"North Bay, Ontario",2021S0504575,Both,Ages 15 years and over,"75th percentile of wages, salaries and commissions",Dollars,81,units,0,v1121101099,100.1.1.5,61750.0,,,,0
14261,2017-01-01,"North Bay, Ontario",2021S0504575,Both,Ages 15 years and over,Median total income,Dollars,81,units,0,v1121101100,100.1.1.6,44760.0,,,,0
14304,2017-01-01,"North Bay, Ontario",2021S0504575,Men+,Ages 15 years and over,"Count of tax filers with wages, salaries and commissions",Number,223,units,0,v1121101143,100.2.1.1,17110.0,,,,0
14305,2017-01-01,"North Bay, Ontario",2021S0504575,Men+,Ages 15 years and over,"Percentage of tax filers with wages, salaries and commissions",Percent,239,units,0,v1121101144,100.2.1.2,100.0,,,,1
14306,2017-01-01,"North Bay, Ontario",2021S0504575,Men+,Ages 15 years and over,"25th percentile of wages, salaries and commissions",Dollars,81,units,0,v1121101145,100.2.1.3,13150.0,,,,0
14307,2017-01-01,"North Bay, Ontario",2021S0504575,Men+,Ages 15 years and over,"Median wages, salaries and commissions",Dollars,81,units,0,v1121101146,100.2.1.4,40130.0,,,,0
14308,2017-01-01,"North Bay, Ontario",2021S0504575,Men+,Ages 15 years and over,"75th percentile of wages, salaries and commissions",Dollars,81,units,0,v1121101147,100.2.1.5,69350.0,,,,0
14309,2017-01-01,"North Bay, Ontario",2021S0504575,Men+,Ages 15 years and over,Median total income,Dollars,81,units,0,v1121101148,100.2.1.6,50880.0,,,,0
14352,2017-01-01,"North Bay, Ontario",2021S0504575,Women+,Ages 15 years and over,"Count of tax filers with wages, salaries and commissions",Number,223,units,0,v1121101191,100.3.1.1,16430.0,,,,0
14353,2017-01-01,"North Bay, Ontario",2021S0504575,Women+,Ages 15 years and over,"Percentage of tax filers with wages, salaries and commissions",Percent,239,units,0,v1121101192,100.3.1.2,100.0,,,,1
